shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
111001,34.878601,137.176437,212
111001,34.878502,137.17659,213
111001,34.878433,137.176697,214
111001,34.878422,137.176788,215
111001,34.878475,137.176865,216
111001,34.878567,137.176941,217
111001,34.878689,137.177032,218
111001,34.878826,137.17717,219
111001,34.878937,137.177307,220
111001,34.879009,137.177414,221
111001,34.879032,137.17746,222
111001,34.879044,137.177521,223
111001,34.879005,137.177612,224
111001,34.878922,137.177734,225
111001,34.878803,137.177887,226
111001,34.878685,137.178055,227
111001,34.878578,137.178192,228
111001,34.878487,137.178329,229
111001,34.878399,137.178482,230
111001,34.878307,137.17865,231
111001,34.878204,137.178833,232
111001,34.878113,137.179031,233
111001,34.878056,137.179199,234
111001,34.878036,137.179245,235
111001,34.877998,137.179321,236
111001,34.877945,137.179428,237
111001,34.877895,137.179581,238
111001,34.877842,137.179749,239
111001,34.877789,137.179901,240
111001,34.877739,137.180069,241
111001,34.877686,137.180252,242
111001,34.877625,137.18045,243
111001,34.87756,137.180664,244
111001,34.877491,137.180878,245
111001,34.877419,137.181107,246
111001,34.87735,137.181305,247
111001,34.877285,137.181503,248
111001,34.877232,137.181686,249
111001,34.877186,137.181839,250
111001,34.87714,137.181992,251
111001,34.877125,137.182083,252
111001,34.877071,137.182159,253
111001,34.877029,137.182281,254
111001,34.876972,137.182465,255
111001,34.876907,137.182678,256
111001,34.876839,137.182892,257
111001,34.87677,137.183121,258
111001,34.876701,137.183334,259
111001,34.876633,137.183548,260
111001,34.876572,137.183731,261
111001,34.876507,137.183945,262
111001,34.876427,137.184143,263
111001,34.87635,137.184341,264
111001,34.876274,137.184525,265
111001,34.876194,137.184723,266
111001,34.876106,137.184906,267
111001,34.876022,137.185089,268
111001,34.875954,137.185257,269
111001,34.875885,137.185394,270
111001,34.875843,137.185486,271
111001,34.875828,137.185532,272
111001,34.875862,137.185623,273
111001,34.875965,137.185669,274
111001,34.876114,137.185715,275
111001,34.876282,137.185776,276
111001,34.876442,137.185852,277
111001,34.876598,137.185913,278
111001,34.876751,137.185974,279
111001,34.876869,137.186005,280
111001,34.876953,137.186035,281
111001,34.876999,137.18605,282
111001,34.877052,137.18605,283
111001,34.877098,137.186066,284
111001,34.877144,137.186081,285
111001,34.877186,137.186111,286
111001,34.877201,137.186218,287
111001,34.877178,137.18634,288
111001,34.877125,137.186523,289
111001,34.877048,137.186768,290
111001,34.876968,137.187042,291
111001,34.876881,137.187332,292
111001,34.876789,137.187637,293
111001,34.876698,137.187943,294
111001,34.876617,137.188248,295
111001,34.876568,137.188538,296
111001,34.876541,137.188766,297
111001,34.87653,137.188919,298
111001,34.876575,137.18898,299
111001,34.876656,137.189072,300
111001,34.876759,137.189178,301
111001,34.876877,137.18927,302
111001,34.87698,137.189316,303
111001,34.877048,137.189331,304
111001,34.877113,137.189301,305
111001,34.877155,137.189209,306
111001,34.877197,137.189041,307
111001,34.877266,137.188797,308
111001,34.877346,137.188507,309
111001,34.87743,137.188217,310
111001,34.877518,137.187912,311
111001,34.877605,137.187607,312
111001,34.877697,137.187302,313
111001,34.877785,137.187012,314
111001,34.877865,137.186783,315
111001,34.877918,137.18663,316
111001,34.877937,137.186523,317
111001,34.877975,137.186447,318
111001,34.878044,137.186417,319
111001,34.878147,137.186447,320
111001,34.878304,137.186508,321
111001,34.87849,137.1866,322
111001,34.878693,137.186691,323
111001,34.878914,137.186798,324
111001,34.879135,137.18689,325
111001,34.879356,137.186981,326
